dispatching_base_number,date,active_vehicles,trips
B02617,2015-01-25,142,701
B02617,2015-01-26,161,773
B02512,2015-01-27,185,1101
B02512,2015-01-28,234,1259
B02512,2015-01-29,225,1042
B02512,2015-01-30,208,1506
B02512,2015-01-31,201,1550
B02512,2015-02-01,185,1721
B02512,2015-02-02,184,1802
B02598,2015-01-27,155,792
B02598,2015-01-28,161,916
B02598,2015-01-29,164,974
B02598,2015-01-30,184,1033
B02598,2015-01-31,184,1136
B02598,2015-02-01,205,1168
B02598,2015-02-02,204,1275
B02617,2015-01-27,100,529
B02617,2015-01-28,101,507
B02617,2015-01-29,116,628
B02617,2015-01-30,120,668
B02617,2015-01-31,139,690
B02617,2015-02-01,150,779
B02617,2015-02-02,160,800
B02512,2015-02-03,181,1128
B02512,2015-02-04,226,1180
B02512,2015-02-05,234,974
B02512,2015-02-06,208,1540
B02512,2015-02-07,194,1628
B02512,2015-02-08,181,1661
B02512,2015-02-09,199,1754
B02598,2015-02-03,156,792
B02598,2015-02-04,168,913
B02598,2015-02-05,176,978
B02598,2015-02-06,184,1018
B02598,2015-02-07,190,1119
B02598,2015-02-08,201,1225
B02598,2015-02-09,206,1267
B02617,2015-02-03,100,529
B02617,2015-02-04,116,544
B02617,2015-02-05,110,599
B02617,2015-02-06,124,620
B02617,2015-02-07,146,706
B02617,2015-02-08,149,759
B02617,2015-02-09,164,816
B02512,2015-02-10,195,1085
B02512,2015-02-11,233,1191
B02512,2015-02-12,239,1033
B02512,2015-02-13,206,1522
B02512,2015-02-14,197,1642
B02512,2015-02-15,181,1673
B02512,2015-02-16,191,1794
B02598,2015-02-10,140,812
B02598,2015-02-11,163,851
B02598,2015-02-12,166,945
B02598,2015-02-13,173,972
B02598,2015-02-14,187,1123
B02598,2015-02-15,200,1158
B02598,2015-02-16,211,1280
B02617,2015-02-10,107,456
B02617,2015-02-11,113,582
B02617,2015-02-12,126,555
B02617,2015-02-13,127,687
B02617,2015-02-14,136,669
B02617,2015-02-15,146,715
B02617,2015-02-16,154,815
B02512,2015-02-17,198,1097
B02512,2015-02-18,233,1209
B02512,2015-02-19,235,975
B02512,2015-02-20,202,1516
B02512,2015-02-21,190,1644
B02512,2015-02-22,179,1651
B02512,2015-02-23,188,1845
B02598,2015-02-17,152,823
B02598,2015-02-18,159,884
B02598,2015-02-19,176,938
B02598,2015-02-20,179,1015
B02598,2015-02-21,193,1098
B02598,2015-02-22,192,1170
B02598,2015-02-23,205,1316
B02617,2015-02-17,105,482
B02617,2015-02-18,103,522
B02617,2015-02-19,115,608
B02617,2015-02-20,124,630
B02617,2015-02-21,145,718
B02617,2015-02-22,147,799
B02617,2015-02-23,168,843
B02512,2015-02-24,195,1178
B02512,2015-02-25,231,1273
B02512,2015-02-26,235,1005
B02512,2015-02-27,219,1547
B02512,2015-02-28,196,1648
B02512,2015-03-01,171,1736
B02512,2015-03-02,198,1776
B02598,2015-02-24,142,833
B02598,2015-02-25,166,941
B02598,2015-02-26,177,955
B02598,2015-02-27,177,1010
B02598,2015-02-28,184,1069
B02598,2015-03-01,201,1165
B02598,2015-03-02,215,1344
B02617,2015-02-24,101,472
B02617,2015-02-25,111,558
B02617,2015-02-26,117,647
B02617,2015-02-27,123,600
B02617,2015-02-28,134,690
B02617,2015-03-01,158,701
B02617,2015-03-02,158,844
B02512,2015-03-03,188,1136
B02512,2015-03-04,230,1208
B02512,2015-03-05,230,985
B02512,2015-03-06,202,1504
B02512,2015-03-07,192,1551
B02512,2015-03-08,188,1727
B02512,2015-03-09,183,1794
B02598,2015-03-03,148,822
B02598,2015-03-04,157,924
B02598,2015-03-05,179,940
B02598,2015-03-06,181,967
B02598,2015-03-07,190,1131
B02598,2015-03-08,202,1238
B02598,2015-03-09,205,1304
B02617,2015-03-03,108,452
B02617,2015-03-04,101,554
B02617,2015-03-05,111,582
B02617,2015-03-06,137,693
B02617,2015-03-07,133,724
B02617,2015-03-08,148,762
B02617,2015-03-09,159,754
B02512,2015-03-10,199,1179
B02512,2015-03-11,220,1233
B02512,2015-03-12,224,1019
B02512,2015-03-13,205,1470
B02512,2015-03-14,207,1584
B02512,2015-03-15,181,1678
B02512,2015-03-16,192,1771
B02598,2015-03-10,155,845
B02598,2015-03-11,162,906
B02598,2015-03-12,163,907
B02598,2015-03-13,187,1049
B02598,2015-03-14,193,1147
B02598,2015-03-15,204,1214
B02598,2015-03-16,200,1260
B02617,2015-03-10,94,468
B02617,2015-03-11,100,568
B02617,2015-03-12,123,573
B02617,2015-03-13,135,607
B02617,2015-03-14,142,709
B02617,2015-03-15,151,722
B02617,2015-03-16,153,764
B02512,2015-03-17,195,1124
B02512,2015-03-18,226,1218
B02512,2015-03-19,237,1018
B02512,2015-03-20,214,1491
B02512,2015-03-21,205,1585
B02512,2015-03-22,185,1737
B02512,2015-03-23,191,1849
B02598,2015-03-17,145,780
B02598,2015-03-18,167,886
B02598,2015-03-19,176,976
B02598,2015-03-20,189,969
B02598,2015-03-21,196,1104
B02598,2015-03-22,199,1187
B02598,2015-03-23,205,1287
B02617,2015-03-17,97,452
B02617,2015-03-18,108,572
B02617,2015-03-19,115,640
B02617,2015-03-20,132,697
B02617,2015-03-21,140,658
B02617,2015-03-22,149,750
B02617,2015-03-23,161,843
B02512,2015-03-24,196,1139
B02512,2015-03-25,229,1203
B02512,2015-03-26,239,957
B02512,2015-03-27,205,1459
B02512,2015-03-28,209,1575
B02512,2015-03-29,187,1717
B02512,2015-03-30,195,1782
B02598,2015-03-24,141,779
B02598,2015-03-25,151,871
B02598,2015-03-26,167,996
B02598,2015-03-27,172,961
B02598,2015-03-28,183,1121
B02598,2015-03-29,208,1216
B02598,2015-03-30,200,1310
B02617,2015-03-24,101,526
B02617,2015-03-25,117,536
B02617,2015-03-26,123,569
B02617,2015-03-27,131,601
B02617,2015-03-28,149,738
B02617,2015-03-29,147,755
B02617,2015-03-30,154,827
B02512,2015-03-31,187,1109
B02512,2015-04-01,224,1216
B02512,2015-04-02,221,957
B02512,2015-04-03,204,1512
B02512,2015-04-04,209,1581
B02512,2015-04-05,178,1728
B02512,2015-04-06,190,1813
B02598,2015-03-31,158,793
B02598,2015-04-01,156,868
B02598,2015-04-02,179,956
B02598,2015-04-03,179,977
B02598,2015-04-04,192,1131
B02598,2015-04-05,194,1205
B02598,2015-04-06,204,1346
B02617,2015-03-31,101,512
B02617,2015-04-01,107,521
B02617,2015-04-02,124,602
B02617,2015-04-03,135,690
B02617,2015-04-04,135,688
B02617,2015-04-05,140,769
B02617,2015-04-06,164,797
B02512,2015-04-07,197,1106
B02512,2015-04-08,226,1225
B02512,2015-04-09,224,1026
B02512,2015-04-10,201,1490
B02512,2015-04-11,205,1601
B02512,2015-04-12,170,1669
B02512,2015-04-13,185,1769
B02598,2015-04-07,159,754
B02598,2015-04-08,158,909
B02598,2015-04-09,165,953
B02598,2015-04-10,186,977
B02598,2015-04-11,187,1090
B02598,2015-04-12,192,1162
B02598,2015-04-13,217,1255
B02617,2015-04-07,108,467
B02617,2015-04-08,105,510
B02617,2015-04-09,126,598
B02617,2015-04-10,127,674
B02617,2015-04-11,137,711
B02617,2015-04-12,142,753
B02617,2015-04-13,164,836
B02512,2015-04-14,183,1173
B02512,2015-04-15,217,1200
B02512,2015-04-16,220,1020
B02512,2015-04-17,213,1504
B02512,2015-04-18,195,1643
B02512,2015-04-19,170,1675
B02512,2015-04-20,199,1843
B02598,2015-04-14,157,762
B02598,2015-04-15,151,917
B02598,2015-04-16,170,976
B02598,2015-04-17,176,995
B02598,2015-04-18,198,1068
B02598,2015-04-19,197,1184
B02598,2015-04-20,208,1288
B02617,2015-04-14,96,494
B02617,2015-04-15,107,590
B02617,2015-04-16,125,622
B02617,2015-04-17,125,620
B02617,2015-04-18,140,688
B02617,2015-04-19,154,797
B02617,2015-04-20,163,767
B02512,2015-04-21,195,1178
B02512,2015-04-22,224,1249
B02512,2015-04-23,237,1049
B02512,2015-04-24,218,1524
B02512,2015-04-25,195,1643
B02512,2015-04-26,177,1727
B02512,2015-04-27,190,1776
B02598,2015-04-21,159,750
B02598,2015-04-22,156,915
B02598,2015-04-23,179,964
B02598,2015-04-24,172,956
B02598,2015-04-25,186,1100
B02598,2015-04-26,208,1248
B02598,2015-04-27,214,1264
B02617,2015-04-21,104,534
B02617,2015-04-22,114,518
B02617,2015-04-23,113,615
B02617,2015-04-24,138,620
B02617,2015-04-25,134,739
B02617,2015-04-26,146,745
B02617,2015-04-27,153,837
B02512,2015-04-28,188,1121
B02512,2015-04-29,225,1189
B02512,2015-04-30,230,1017
B02512,2015-05-01,211,1457
B02512,2015-05-02,206,1610
B02512,2015-05-03,176,1725
B02512,2015-05-04,195,1771
B02598,2015-04-28,153,838
B02598,2015-04-29,163,945
B02598,2015-04-30,170,953
B02598,2015-05-01,183,1047
B02598,2015-05-02,194,1069
B02598,2015-05-03,191,1165
B02598,2015-05-04,202,1338
B02617,2015-04-28,90,504
B02617,2015-04-29,103,510
B02617,2015-04-30,111,585
B02617,2015-05-01,121,637
B02617,2015-05-02,144,719
B02617,2015-05-03,155,713
B02617,2015-05-04,154,807
B02512,2015-05-05,197,1113
B02512,2015-05-06,223,1206
B02512,2015-05-07,237,1046
B02512,2015-05-08,202,1457
B02512,2015-05-09,207,1577
B02512,2015-05-10,189,1747
B02512,2015-05-11,195,1837
B02598,2015-05-05,151,834
B02598,2015-05-06,169,887
B02598,2015-05-07,164,937
B02598,2015-05-08,180,998
B02598,2015-05-09,180,1095
B02598,2015-05-10,205,1240
B02598,2015-05-11,217,1331
B02617,2015-05-05,98,451
B02617,2015-05-06,109,506
B02617,2015-05-07,127,565
B02617,2015-05-08,122,641
B02617,2015-05-09,136,657
B02617,2015-05-10,150,778
B02617,2015-05-11,155,827
B02512,2015-05-12,190,1179
B02512,2015-05-13,233,1263
B02512,2015-05-14,238,973
B02512,2015-05-15,209,1512
B02512,2015-05-16,190,1590
B02512,2015-05-17,186,1693
B02512,2015-05-18,184,1837
B02598,2015-05-12,145,753
B02598,2015-05-13,155,857
B02598,2015-05-14,169,992
B02598,2015-05-15,188,1035
B02598,2015-05-16,198,1084
B02598,2015-05-17,209,1219
B02598,2015-05-18,209,1260
B02617,2015-05-12,103,452
B02617,2015-05-13,105,546
B02617,2015-05-14,112,572
B02617,2015-05-15,135,681
B02617,2015-05-16,140,713
B02617,2015-05-17,144,775
B02617,2015-05-18,160,772
B02512,2015-05-19,198,1155
B02512,2015-05-20,228,1245
B02512,2015-05-21,233,954
B02512,2015-05-22,214,1464
B02512,2015-05-23,191,1633
B02512,2015-05-24,183,1658
B02512,2015-05-25,186,1796
B02598,2015-05-19,157,843
B02598,2015-05-20,158,893
B02598,2015-05-21,166,988
B02598,2015-05-22,180,975
B02598,2015-05-23,199,1111
B02598,2015-05-24,206,1204
B02598,2015-05-25,210,1255
B02617,2015-05-19,100,460
B02617,2015-05-20,101,571
B02617,2015-05-21,114,591
B02617,2015-05-22,124,687
B02617,2015-05-23,138,679
B02617,2015-05-24,158,706
B02617,2015-05-25,169,814
B02512,2015-05-26,188,1159
B02512,2015-05-27,230,1186
B02512,2015-05-28,234,1044
B02512,2015-05-29,214,1522
B02512,2015-05-30,205,1617
B02512,2015-05-31,175,1737
B02512,2015-06-01,192,1847
B02598,2015-05-26,156,800
B02598,2015-05-27,159,947
B02598,2015-05-28,177,993
B02598,2015-05-29,170,1008
B02598,2015-05-30,192,1050
B02598,2015-05-31,195,1202
B02598,2015-06-01,204,1252
B02617,2015-05-26,92,548
B02617,2015-05-27,115,501
B02617,2015-05-28,121,551
B02617,2015-05-29,120,627
B02617,2015-05-30,134,661
B02617,2015-05-31,148,765
B02617,2015-06-01,164,832
B02512,2015-06-02,186,1095
B02512,2015-06-03,232,1263
B02512,2015-06-04,236,969
B02512,2015-06-05,219,1528
B02512,2015-06-06,200,1646
B02512,2015-06-07,173,1683
B02512,2015-06-08,189,1780
B02598,2015-06-02,153,832
B02598,2015-06-03,158,940
B02598,2015-06-04,169,983
B02598,2015-06-05,173,1005
B02598,2015-06-06,181,1057
B02598,2015-06-07,204,1208
B02598,2015-06-08,210,1290
B02617,2015-06-02,108,501
B02617,2015-06-03,102,591
B02617,2015-06-04,121,555
B02617,2015-06-05,138,654
B02617,2015-06-06,135,659
B02617,2015-06-07,158,735
B02617,2015-06-08,166,848
B02512,2015-06-09,185,1121
B02512,2015-06-10,225,1268
B02512,2015-06-11,231,977
B02512,2015-06-12,209,1496
B02512,2015-06-13,193,1624
B02512,2015-06-14,173,1682
B02512,2015-06-15,186,1840
B02598,2015-06-09,152,775
B02598,2015-06-10,154,879
B02598,2015-06-11,160,976
B02598,2015-06-12,170,964
B02598,2015-06-13,181,1117
B02598,2015-06-14,208,1184
B02598,2015-06-15,209,1339
B02617,2015-06-09,105,497
B02617,2015-06-10,102,577
B02617,2015-06-11,110,624
B02617,2015-06-12,126,628
B02617,2015-06-13,136,696
B02617,2015-06-14,150,765
B02617,2015-06-15,166,824
B02512,2015-06-16,191,1131
B02512,2015-06-17,215,1211
B02512,2015-06-18,224,968
B02512,2015-06-19,217,1484
B02512,2015-06-20,206,1627
B02512,2015-06-21,176,1678
B02512,2015-06-22,187,1773
B02598,2015-06-16,150,844
B02598,2015-06-17,165,919
B02598,2015-06-18,160,977
B02598,2015-06-19,186,978
B02598,2015-06-20,198,1065
B02598,2015-06-21,201,1177
B02598,2015-06-22,210,1251
B02617,2015-06-16,96,546
B02617,2015-06-17,109,568
B02617,2015-06-18,121,643
B02617,2015-06-19,126,609
B02617,2015-06-20,144,738
B02617,2015-06-21,156,710
B02617,2015-06-22,163,792
B02512,2015-06-23,183,1102
B02512,2015-06-24,233,1253
B02512,2015-06-25,233,973
B02512,2015-06-26,212,1489
B02512,2015-06-27,202,1615
B02512,2015-06-28,188,1697
B02512,2015-06-29,185,1769
B02598,2015-06-23,158,834
B02598,2015-06-24,158,929
B02598,2015-06-25,165,999
B02598,2015-06-26,174,1049
B02598,2015-06-27,192,1088
B02598,2015-06-28,203,1211
B02598,2015-06-29,207,1349
B02617,2015-06-23,99,487
B02617,2015-06-24,102,596
B02617,2015-06-25,123,640
B02617,2015-06-26,130,625
B02617,2015-06-27,142,749
B02617,2015-06-28,143,701
B02617,2015-06-29,161,847
B02512,2015-06-30,191,1107
B02512,2015-07-01,220,1227
B02512,2015-07-02,235,1040
B02512,2015-07-03,210,1480
B02512,2015-07-04,202,1579
B02512,2015-07-05,178,1695
B02512,2015-07-06,197,1809
B02598,2015-06-30,156,800
B02598,2015-07-01,164,867
B02598,2015-07-02,161,998
B02598,2015-07-03,184,1012
B02598,2015-07-04,198,1102
B02598,2015-07-05,198,1182
B02598,2015-07-06,218,1345
B02617,2015-06-30,109,537
B02617,2015-07-01,117,576
B02617,2015-07-02,111,605
B02617,2015-07-03,131,683
B02617,2015-07-04,138,696
B02617,2015-07-05,156,702
B02617,2015-07-06,153,796
B02512,2015-07-07,199,1135
B02512,2015-07-08,231,1252
B02512,2015-07-09,228,1023
B02512,2015-07-10,202,1535
B02512,2015-07-11,198,1636
B02512,2015-07-12,184,1686
B02512,2015-07-13,181,1795
B02598,2015-07-07,146,780
B02598,2015-07-08,155,933
B02598,2015-07-09,165,937
B02598,2015-07-10,184,951
B02598,2015-07-11,194,1092
B02598,2015-07-12,202,1177
B02598,2015-07-13,211,1310
B02617,2015-07-07,91,524
B02617,2015-07-08,111,587
B02617,2015-07-09,114,631
B02617,2015-07-10,123,640
B02617,2015-07-11,130,650
B02617,2015-07-12,146,772
B02617,2015-07-13,154,824
B02512,2015-07-14,194,1169
B02512,2015-07-15,232,1263
B02512,2015-07-16,222,1029
B02512,2015-07-17,209,1492
B02512,2015-07-18,190,1556
B02512,2015-07-19,187,1736
B02512,2015-07-20,189,1833
B02598,2015-07-14,140,803
B02598,2015-07-15,165,883
B02598,2015-07-16,161,943
B02598,2015-07-17,178,1016
B02598,2015-07-18,180,1139
B02598,2015-07-19,196,1170
B02598,2015-07-20,212,1282
B02617,2015-07-14,103,547
B02617,2015-07-15,105,561
B02617,2015-07-16,114,576
B02617,2015-07-17,138,693
B02617,2015-07-18,148,661
B02617,2015-07-19,157,740
B02617,2015-07-20,160,840
B02512,2015-07-21,193,1082
B02512,2015-07-22,217,1274
B02512,2015-07-23,221,1028
B02512,2015-07-24,215,1486
B02512,2015-07-25,195,1559
B02512,2015-07-26,186,1698
B02512,2015-07-27,199,1845
B02598,2015-07-21,144,752
B02598,2015-07-22,154,862
B02598,2015-07-23,160,912
B02598,2015-07-24,187,993
B02598,2015-07-25,188,1094
B02598,2015-07-26,199,1195
B02598,2015-07-27,203,1293
B02617,2015-07-21,108,473
B02617,2015-07-22,113,520
B02617,2015-07-23,111,578
B02617,2015-07-24,132,676
B02617,2015-07-25,134,722
B02617,2015-07-26,154,723
B02617,2015-07-27,169,771
B02512,2015-07-28,195,1176
B02512,2015-07-29,226,1261
B02512,2015-07-30,226,1040
B02512,2015-07-31,214,1511
B02512,2015-08-01,192,1625
B02512,2015-08-02,171,1697
B02512,2015-08-03,193,1760
B02598,2015-07-28,149,829
B02598,2015-07-29,158,943
B02598,2015-07-30,160,934
B02598,2015-07-31,185,1006
B02598,2015-08-01,188,1096
B02598,2015-08-02,199,1245
B02598,2015-08-03,216,1270
B02617,2015-07-28,97,512
B02617,2015-07-29,105,530
B02617,2015-07-30,128,627
B02617,2015-07-31,137,662
B02617,2015-08-01,146,672
B02617,2015-08-02,144,751
B02617,2015-08-03,157,775
B02512,2015-08-04,181,1131
B02512,2015-08-05,221,1200
B02512,2015-08-06,229,1022
B02512,2015-08-07,200,1547
B02512,2015-08-08,193,1603
B02512,2015-08-09,175,1710
B02512,2015-08-10,183,1778
B02598,2015-08-04,146,805
B02598,2015-08-05,167,864
B02598,2015-08-06,168,976
B02598,2015-08-07,185,1007
B02598,2015-08-08,191,1109
B02598,2015-08-09,191,1229
B02598,2015-08-10,204,1344
B02617,2015-08-04,103,454
B02617,2015-08-05,101,583
B02617,2015-08-06,127,642
B02617,2015-08-07,130,661
B02617,2015-08-08,131,708
B02617,2015-08-09,145,792
B02617,2015-08-10,166,848
B02512,2015-08-11,183,1137
B02512,2015-08-12,220,1236
B02512,2015-08-13,230,994
B02512,2015-08-14,207,1507
B02512,2015-08-15,191,1627
B02512,2015-08-16,176,1662
B02512,2015-08-17,197,1827
B02598,2015-08-11,156,847
B02598,2015-08-12,160,860
B02598,2015-08-13,177,900
B02598,2015-08-14,187,966
B02598,2015-08-15,180,1068
B02598,2015-08-16,204,1206
B02598,2015-08-17,215,1293
B02617,2015-08-11,107,544
B02617,2015-08-12,109,530
B02617,2015-08-13,112,641
B02617,2015-08-14,134,641
B02617,2015-08-15,146,705
B02617,2015-08-16,150,769
B02617,2015-08-17,150,751
B02512,2015-08-18,189,1107
B02512,2015-08-19,226,1273
B02512,2015-08-20,232,1022
B02512,2015-08-21,210,1510
B02512,2015-08-22,200,1624
B02512,2015-08-23,173,1695
B02512,2015-08-24,182,1809
B02598,2015-08-18,157,784
B02598,2015-08-19,163,949
B02598,2015-08-20,162,982
B02598,2015-08-21,184,982
B02598,2015-08-22,181,1089
B02598,2015-08-23,198,1203
B02598,2015-08-24,213,1324
B02617,2015-08-18,98,538
B02617,2015-08-19,118,569
B02617,2015-08-20,120,602
B02617,2015-08-21,128,615
B02617,2015-08-22,141,665
B02617,2015-08-23,143,729
B02617,2015-08-24,159,782
B02512,2015-08-25,188,1098
B02512,2015-08-26,219,1201
B02512,2015-08-27,224,1031
B02512,2015-08-28,213,1510
B02512,2015-08-29,196,1595
B02512,2015-08-30,175,1738
B02512,2015-08-31,188,1833
B02598,2015-08-25,143,793
B02598,2015-08-26,160,871
B02598,2015-08-27,173,934
B02598,2015-08-28,171,991
B02598,2015-08-29,194,1120
B02598,2015-08-30,205,1206
B02598,2015-08-31,211,1285
B02617,2015-08-25,90,481
B02617,2015-08-26,108,576
B02617,2015-08-27,124,628
B02617,2015-08-28,135,690
B02617,2015-08-29,133,747
B02617,2015-08-30,140,794
B02617,2015-08-31,162,764
B02512,2015-09-01,183,1146
B02512,2015-09-02,221,1264
B02512,2015-09-03,225,1004
B02512,2015-09-04,208,1521
B02512,2015-09-05,207,1592
B02512,2015-09-06,185,1672
B02512,2015-09-07,187,1779
B02598,2015-09-01,142,825
B02598,2015-09-02,155,922
B02598,2015-09-03,167,972
B02598,2015-09-04,180,1029
B02598,2015-09-05,189,1137
B02598,2015-09-06,205,1214
B02598,2015-09-07,214,1298
B02617,2015-09-01,98,523
B02617,2015-09-02,116,587
B02617,2015-09-03,114,564
B02617,2015-09-04,131,611
B02617,2015-09-05,149,650
B02617,2015-09-06,140,728
B02617,2015-09-07,156,785
B02512,2015-09-08,188,1103
B02512,2015-09-09,216,1279
B02512,2015-09-10,224,1005
B02512,2015-09-11,213,1537
B02512,2015-09-12,209,1611
B02512,2015-09-13,178,1657
B02512,2015-09-14,192,1762
B02598,2015-09-08,146,821
B02598,2015-09-09,159,941
B02598,2015-09-10,175,991
B02598,2015-09-11,188,961
B02598,2015-09-12,185,1149
B02598,2015-09-13,194,1187
B02598,2015-09-14,217,1337
B02617,2015-09-08,103,548
B02617,2015-09-09,101,565
B02617,2015-09-10,112,605
B02617,2015-09-11,125,630
B02617,2015-09-12,144,651
B02617,2015-09-13,149,720
B02617,2015-09-14,167,792
B02512,2015-09-15,193,1128
B02512,2015-09-16,215,1226
B02512,2015-09-17,232,1042
B02512,2015-09-18,216,1501
B02512,2015-09-19,200,1645
B02512,2015-09-20,181,1650
B02512,2015-09-21,183,1833
B02598,2015-09-15,147,830
B02598,2015-09-16,161,868
B02598,2015-09-17,173,961
B02598,2015-09-18,189,1045
B02598,2015-09-19,191,1075
B02598,2015-09-20,197,1212
B02598,2015-09-21,218,1341
B02617,2015-09-15,94,464
B02617,2015-09-16,115,563
B02617,2015-09-17,122,555
B02617,2015-09-18,128,639
B02617,2015-09-19,140,684
B02617,2015-09-20,148,704
B02617,2015-09-21,155,842
B02512,2015-09-22,184,1098
B02512,2015-09-23,221,1183
B02512,2015-09-24,233,975
B02512,2015-09-25,201,1517
B02512,2015-09-26,202,1621
B02512,2015-09-27,189,1743
B02512,2015-09-28,190,1788
B02598,2015-09-22,149,832
B02598,2015-09-23,160,900
B02598,2015-09-24,166,968
B02598,2015-09-25,178,975
B02598,2015-09-26,189,1128
B02598,2015-09-27,205,1176
B02598,2015-09-28,206,1333
B02617,2015-09-22,109,474
B02617,2015-09-23,100,550
B02617,2015-09-24,122,635
B02617,2015-09-25,136,668
B02617,2015-09-26,139,689
B02617,2015-09-27,152,773
B02617,2015-09-28,152,822
B02512,2015-09-29,181,1101
B02512,2015-09-30,224,1206
B02512,2015-10-01,236,985
B02512,2015-10-02,210,1529
B02512,2015-10-03,205,1568
B02512,2015-10-04,183,1701
B02512,2015-10-05,191,1791
B02598,2015-09-29,147,755
B02598,2015-09-30,162,863
B02598,2015-10-01,174,907
B02598,2015-10-02,178,1027
B02598,2015-10-03,191,1059
B02598,2015-10-04,204,1175
B02598,2015-10-05,210,1267
B02617,2015-09-29,102,499
B02617,2015-09-30,107,528
B02617,2015-10-01,126,592
B02617,2015-10-02,120,638
B02617,2015-10-03,137,676
B02617,2015-10-04,148,742
B02617,2015-10-05,165,835
B02512,2015-10-06,190,1128
B02512,2015-10-07,230,1250
B02512,2015-10-08,238,1031
B02512,2015-10-09,217,1501
B02512,2015-10-10,209,1607
B02512,2015-10-11,184,1724
B02512,2015-10-12,185,1787
B02598,2015-10-06,143,799
B02598,2015-10-07,166,947
B02598,2015-10-08,175,908
B02598,2015-10-09,181,994
B02598,2015-10-10,185,1118
B02598,2015-10-11,202,1151
B02598,2015-10-12,209,1322
B02617,2015-10-06,96,484
B02617,2015-10-07,105,514
B02617,2015-10-08,127,645
B02617,2015-10-09,129,643
B02617,2015-10-10,137,663
B02617,2015-10-11,147,715
B02617,2015-10-12,150,774
B02512,2015-10-13,189,1155
B02512,2015-10-14,231,1200
B02512,2015-10-15,231,964
B02512,2015-10-16,218,1486
B02512,2015-10-17,207,1637
B02512,2015-10-18,186,1656
B02512,2015-10-19,197,1849
B02598,2015-10-13,144,823
B02598,2015-10-14,154,883
B02598,2015-10-15,174,994
B02598,2015-10-16,170,986
B02598,2015-10-17,198,1070
B02598,2015-10-18,208,1158
B02598,2015-10-19,218,1268
B02617,2015-10-13,93,457
B02617,2015-10-14,110,537
B02617,2015-10-15,116,633
B02617,2015-10-16,135,637
B02617,2015-10-17,145,686
B02617,2015-10-18,146,738
B02617,2015-10-19,165,772
B02512,2015-10-20,195,1170
B02512,2015-10-21,224,1223
B02512,2015-10-22,231,964
B02512,2015-10-23,200,1548
B02512,2015-10-24,208,1596
B02512,2015-10-25,179,1731
B02512,2015-10-26,188,1787
B02598,2015-10-20,143,808
B02598,2015-10-21,151,900
B02598,2015-10-22,163,981
B02598,2015-10-23,170,997
B02598,2015-10-24,196,1054
B02598,2015-10-25,204,1211
B02598,2015-10-26,202,1334
B02617,2015-10-20,95,485
B02617,2015-10-21,114,521
B02617,2015-10-22,128,571
B02617,2015-10-23,125,654
B02617,2015-10-24,139,672
B02617,2015-10-25,149,743
B02617,2015-10-26,169,819
B02512,2015-10-27,187,1144
B02512,2015-10-28,222,1257
B02512,2015-10-29,237,996
B02512,2015-10-30,203,1505
B02512,2015-10-31,196,1641
B02512,2015-11-01,180,1703
B02512,2015-11-02,182,1815
B02598,2015-10-27,144,794
B02598,2015-10-28,162,855
B02598,2015-10-29,168,982
B02598,2015-10-30,172,987
B02598,2015-10-31,191,1099
B02598,2015-11-01,198,1177
B02598,2015-11-02,214,1315
B02617,2015-10-27,99,459
B02617,2015-10-28,104,593
B02617,2015-10-29,123,562
B02617,2015-10-30,122,669
B02617,2015-10-31,146,669
B02617,2015-11-01,145,755
B02617,2015-11-02,152,827
B02512,2015-11-03,181,1126
B02512,2015-11-04,218,1241
B02512,2015-11-05,239,955
B02512,2015-11-06,203,1486
B02512,2015-11-07,197,1620
B02512,2015-11-08,177,1666
B02512,2015-11-09,190,1759
B02598,2015-11-03,153,832
B02598,2015-11-04,155,881
B02598,2015-11-05,168,963
B02598,2015-11-06,188,983
B02598,2015-11-07,198,1062
B02598,2015-11-08,202,1167
B02598,2015-11-09,200,1267
B02617,2015-11-03,97,523
B02617,2015-11-04,111,566
B02617,2015-11-05,125,565
B02617,2015-11-06,123,638
B02617,2015-11-07,148,683
B02617,2015-11-08,151,718
B02617,2015-11-09,151,841
B02512,2015-11-10,192,1181
B02512,2015-11-11,227,1223
B02512,2015-11-12,220,971
B02512,2015-11-13,216,1481
B02512,2015-11-14,204,1623
B02512,2015-11-15,186,1671
B02512,2015-11-16,187,1789
B02598,2015-11-10,151,823
B02598,2015-11-11,159,909
B02598,2015-11-12,167,948
B02598,2015-11-13,185,1040
B02598,2015-11-14,192,1128
B02598,2015-11-15,208,1166
B02598,2015-11-16,217,1348
B02617,2015-11-10,108,497
B02617,2015-11-11,109,538
B02617,2015-11-12,122,625
B02617,2015-11-13,137,607
B02617,2015-11-14,137,739
B02617,2015-11-15,143,787
B02617,2015-11-16,165,757
B02512,2015-11-17,187,1163
B02512,2015-11-18,217,1208
B02512,2015-11-19,239,985
B02512,2015-11-20,211,1535
B02512,2015-11-21,198,1614
B02512,2015-11-22,179,1693
B02512,2015-11-23,185,1790
B02598,2015-11-17,157,830
B02598,2015-11-18,169,875
B02598,2015-11-19,171,903
B02598,2015-11-20,189,1044
B02598,2015-11-21,193,1134
B02598,2015-11-22,200,1204
B02598,2015-11-23,218,1307
B02617,2015-11-17,108,508
B02617,2015-11-18,110,548
B02617,2015-11-19,111,607
B02617,2015-11-20,135,665
B02617,2015-11-21,135,741
